2016-03-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-03-31,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-04-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-05-31,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-06-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-07-31,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-08-31,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-09-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-10-31,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-11-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-04,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-05,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-06,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-07,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-08,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-09,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-10,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-11,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-12,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-13,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-14,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-15,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-16,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-17,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-18,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-19,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-20,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-21,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-22,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-23,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-24,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-25,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-26,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-27,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-28,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-29,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-30,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2016-12-31,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-01,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-02,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-03,4.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-04,4.0,1, POINT (26.951126646010906 9.12805543743244) 
2017-01-05,3.9,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-06,3.8,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-07,3.7,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-08,3.6,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-09,3.5,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-10,3.4,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-11,3.3,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-12,3.2,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-13,3.1,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-14,3.0,1, POINT (26.951126646010906 9.12805543743244) 
2017-01-15,2.5,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-16,2.0,1, POINT (26.951126646010906 9.12805543743244) 
2017-01-17,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-18,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-19,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-20,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-21,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-22,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-23,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-24,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-25,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-26,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-27,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-28,2.0,1, POINT (26.951126646010906 9.12805543743244) 
2017-01-29,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-30,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-01-31,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-02-01,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-02-02,2.0,0, POINT (26.951126646010906 9.12805543743244) 
2017-02-03,2.0,1, POINT (26.951126646010906 9.12805543743244) 
